Brand,cluster,Listing Price,Sale Price,Discount,Rating,Reviews,Brand_Encoded
Adidas ORIGINALS,0,13999,8399,40,4.5,82,2
Adidas ORIGINALS,0,7599,7599,0,4.7,64,2
Adidas CORE / NEO,1,6999,4199,40,0.0,41,1
Adidas ORIGINALS,0,7999,7999,0,3.2,43,2
Adidas SPORT PERFORMANCE,1,8999,4499,50,1.5,53,3
Adidas SPORT PERFORMANCE,1,8999,4499,50,5.0,77,3
Adidas SPORT PERFORMANCE,1,7999,3999,50,2.4,67,3
Adidas SPORT PERFORMANCE,0,10999,5499,50,4.1,80,3
Adidas SPORT PERFORMANCE,1,7999,3999,50,2.6,20,3
Adidas ORIGINALS,0,8999,8999,0,4.7,97,2
Adidas ORIGINALS,0,7999,7999,0,4.4,69,2
Adidas ORIGINALS,0,11999,11999,0,4.7,46,2
Adidas ORIGINALS,0,7599,7599,0,0.0,32,2
Adidas SPORT PERFORMANCE,1,8999,4499,50,3.6,67,3
Adidas SPORT PERFORMANCE,0,10999,5499,50,3.6,37,3
Adidas SPORT PERFORMANCE,1,8999,4499,50,2.7,79,3
Adidas SPORT PERFORMANCE,1,2499,1499,40,2.0,71,3
Adidas SPORT PERFORMANCE,0,11999,5999,50,2.6,66,3
Adidas ORIGINALS,0,7599,7599,0,4.5,76,2
Adidas SPORT PERFORMANCE,1,8999,4499,50,4.8,58,3
Adidas ORIGINALS,0,7599,7599,0,3.3,5,2
Adidas SPORT PERFORMANCE,1,8999,4499,50,3.7,29,3
Adidas ORIGINALS,0,7999,7999,0,2.6,61,2
Adidas ORIGINALS,0,7599,7599,0,1.5,84,2
Adidas CORE / NEO,1,4999,2499,50,4.4,57,1
Adidas ORIGINALS,0,7599,7599,0,2.0,27,2
Adidas SPORT PERFORMANCE,0,9999,4999,50,2.0,6,3
Adidas SPORT PERFORMANCE,0,7599,7599,0,2.9,17,3
Adidas ORIGINALS,0,11999,11999,0,3.1,69,2
Adidas CORE / NEO,1,5599,2799,50,1.0,56,1
Adidas ORIGINALS,0,12999,12999,0,4.0,54,2
Adidas ORIGINALS,1,6599,6599,0,3.0,15,2
Adidas ORIGINALS,1,6599,6599,0,4.9,40,2
Adidas ORIGINALS,1,5999,3599,40,3.9,88,2
Adidas ORIGINALS,1,3999,2399,40,1.0,52,2
Adidas CORE / NEO,1,3999,3999,0,3.1,56,1
Adidas CORE / NEO,1,5599,3359,40,2.0,68,1
Adidas CORE / NEO,1,2999,2999,0,5.0,55,1
Adidas ORIGINALS,1,6599,6599,0,2.5,34,2
Adidas ORIGINALS,0,7599,7599,0,3.3,31,2
Adidas ORIGINALS,0,7599,7599,0,1.0,85,2
Adidas ORIGINALS,1,6999,3499,50,2.4,61,2
Adidas ORIGINALS,0,7599,7599,0,2.4,45,2
Adidas CORE / NEO,1,4599,4599,0,2.6,73,1
